ID,ufn,date,year,month,day,location,region,site,forklength,fishweight,corrected.bolus.ww,phylum,class,order,infraorder,family,genus,species,plot.taxon.g,plot.taxon,life.stage,DI,count,size,length.avg,corrected.prey.weight,tperiod,time,ID3,cluster
D10_U1006,U1006,2015-06-05,2015,6,5,DI,East,D10,101,12.1,15.862,Arthropoda,Maxillopoda,Calanoida,NA,Metridinidae,Metridia,NA,Calanoid copepod,Metridia,NA,3,1,2-5,2.25,0.077,DI_Late,Late,DI_2015,B
D10_U1006,U1006,2015-06-05,2015,6,5,DI,East,D10,101,12.1,15.862,Arthropoda,Maxillopoda,Calanoida,NA,Metridinidae,Metridia,NA,Calanoid copepod,Metridia,NA,4,3,2-5,NA,0.616,DI_Late,Late,DI_2015,B
D10_U1006,U1006,2015-06-05,2015,6,5,DI,East,D10,101,12.1,15.862,Chordata,Appendicularia,Copelata,NA,Oikopleuridae,Oikopleura,NA,Larvacean,Oikopleura,NA,1,2,5-10,9.69,2.31,DI_Late,Late,DI_2015,B
D10_U1006,U1006,2015-06-05,2015,6,5,DI,East,D10,101,12.1,15.862,Chordata,Appendicularia,Copelata,NA,Oikopleuridae,Oikopleura,NA,Larvacean,Oikopleura,NA,4,3,2-5,3.06,0.0154,DI_Late,Late,DI_2015,B
D10_U1006,U1006,2015-06-05,2015,6,5,DI,East,D10,101,12.1,15.862,Chordata,Appendicularia,Copelata,NA,Oikopleuridae,Oikopleura,NA,Larvacean,Oikopleura,NA,4,3,5-10,7.28,1.848,DI_Late,Late,DI_2015,B
D10_U1007,U1007,2015-06-05,2015,6,5,DI,East,D10,97,8.5,22.022,Arthropoda,Maxillopoda,Calanoida,NA,NA,NA,NA,Calanoid copepod,Calanoid,NA,4,3,2-5,NA,1.232,DI_Late,Late,DI_2015,B
D10_U1007,U1007,2015-06-05,2015,6,5,DI,East,D10,97,8.5,22.022,NA,NA,NA,NA,NA,NA,NA,Digested,Digested,NA,5,NA,NA,NA,1.232,DI_Late,Late,DI_2015,B
D10_U1007,U1007,2015-06-05,2015,6,5,DI,East,D10,97,8.5,22.022,Arthropoda,Maxillopoda,Calanoida,NA,Eucalanidae,Eucalanus,NA,Calanoid copepod,Eucalanus,NA,4,1,5-10,7,3.08,DI_Late,Late,DI_2015,B
D10_U1007,U1007,2015-06-05,2015,6,5,DI,East,D10,97,8.5,22.022,Arthropoda,Maxillopoda,Calanoida,NA,Metridinidae,Metridia,NA,Calanoid copepod,Metridia,NA,1,1,2-5,3.25,1.078,DI_Late,Late,DI_2015,B
D10_U1007,U1007,2015-06-05,2015,6,5,DI,East,D10,97,8.5,22.022,Arthropoda,Maxillopoda,Calanoida,NA,Metridinidae,Metridia,NA,Calanoid copepod,Metridia,NA,3,1,2-5,3,0.077,DI_Late,Late,DI_2015,B
